点名,x,y,z
1,-31971.696,-6428.235,12.989
2,-31973.256,-6413.231,14.052
3,-31950.669,-6417.776,15.657
4-1,-31936.617,-6417.407,17.387
4-2,-31938.996,-6416.287,16.914
5-1,-31927.556,-6415.139,17.739
5-2,-31929.510,-6416.214,17.706
6-1,-31911.646,-6420.561,15.165
6-2,-31908.013,-6420.371,14.950
7,-31879.306,-6415.720,13.804
8,-31871.771,-6404.012,14.981
9,-31864.305,-6396.626,16.319
10,-31870.128,-6406.503,14.930
11,-31884.637,-6416.471,13.836
12-1,-31889.208,-6440.409,13.319
12-2,-31891.329,-6439.183,13.194
13-1,-31905.608,-6456.867,12.863
13-2,-31903.442,-6457.055,13.030
14-1,-31907.100,-6463.935,12.858
14-2,-31906.886,-6467.228,12.909
15,-31900.363,-6481.110,13.797
16,-31903.779,-6501.042,12.996
17,-31925.579,-6481.195,12.820
18,-31936.885,-6477.795,12.871
19,-31950.364,-6467.991,16.933
20-1,-31953.519,-6458.792,15.978
20-2,-31953.734,-6456.679,15.397
21-1,-31956.814,-6451.201,14.545
21-2,-31958.771,-6450.634,14.845
22-1,-31969.245,-6452.584,16.513
22-2,-31970.559,-6453.544,16.767
23,-31976.138,-6446.438,13.048
24,-31979.009,-6433.714,12.970